district,region,sub_locality,year,month,date,population,total_crimes,crimes_per_100k,violent_crimes,property_crimes,crimes_against_women,hotspot_flag,latitude,longitude,location_address,cctv_status,complaint_body,crime_type
Jaipur,West Jaipur,Police Station Area,2021,8,2021-08-01,2810859,7941,282.53,2097,5136,1368,0,26.8503,75.8414,"Police Station Area, West Jaipur, Jaipur, Rajasthan",Not Installed,A case of scam was reported near outside the post office in Police Station Area.,Financial Fraud
Jaipur,Central Jaipur,Lake Side,2021,8,2021-08-01,2810859,10016,356.35,2645,6478,1725,1,26.98925,75.8418,"Lake Side, Central Jaipur, Jaipur, Rajasthan",Not Installed,A case of boundary violation was reported near near Jawahar Circle.,Property Dispute
Jaipur,Central Jaipur,Court Area,2021,8,2021-08-01,2810859,7507,267.09,1982,4855,1293,0,26.95731,75.82042,"Court Area, Central Jaipur, Jaipur, Rajasthan",Installed,The complainant's bike was stolen. No CCTV footage available.,Vehicle Theft
Jaipur,North Jaipur,School Colony,2021,9,2021-09-01,2810859,7834,278.73,2160,4502,955,0,26.89943,75.76749,"School Colony, North Jaipur, Jaipur, Rajasthan",Not Installed,A case of extremism was reported near outside the textile shop in School Colony.,Extremism/Anti-national
Jaipur,North Jaipur,Clock Tower,2021,9,2021-09-01,2810859,7006,249.27,1932,4026,854,0,26.9951,75.8247,"Clock Tower, North Jaipur, Jaipur, Rajasthan",Not Installed,Pickpocketing incident reported in Clock Tower market.,Other
Jaipur,South Jaipur,Clock Tower,2021,9,2021-09-01,2810859,8371,297.84,2308,4811,1020,0,26.93749,75.86628,"Clock Tower, South Jaipur, Jaipur, Rajasthan",Not Installed,Cyber fraud case reported. Money withdrawn illegally.,Other
Jaipur,South Jaipur,Highway Junction,2021,9,2021-09-01,2810859,8338,296.65,2299,4791,1016,0,26.93606,75.83737,"Highway Junction, South Jaipur, Jaipur, Rajasthan",Not Installed,A case of deception was reported near outside the school in Highway Junction.,Fraud/Deception
Jaipur,East Jaipur,Main Market,2021,9,2021-09-01,2810859,7163,254.85,1975,4116,873,0,26.88755,75.83044,"Main Market, East Jaipur, Jaipur, Rajasthan",Not Installed,The complainant was duped in a financial scam.,Financial Fraud
Jaipur,East Jaipur,Temple Chowk,2021,9,2021-09-01,2810859,7828,278.52,2159,4498,954,0,26.97137,75.84038,"Temple Chowk, East Jaipur, Jaipur, Rajasthan",Not Installed,Pickpocketing incident reported in Temple Chowk market.,Other
Jaipur,West Jaipur,Clock Tower,2021,9,2021-09-01,2810859,7967,283.45,2197,4578,971,0,26.93046,75.83808,"Clock Tower, West Jaipur, Jaipur, Rajasthan",Installed,Attempted burglary reported near residential colony in Clock Tower.,Burglary
Jaipur,West Jaipur,Industrial Area,2021,9,2021-09-01,2810859,10700,380.67,2950,6148,1304,1,26.98367,75.70597,"Industrial Area, West Jaipur, Jaipur, Rajasthan",Not Installed,Cyber fraud case reported. Money withdrawn illegally.,Other
Jaipur,Central Jaipur,College Road,2021,9,2021-09-01,2810859,6959,247.6,1919,3999,848,0,26.92453,75.76266,"College Road, Central Jaipur, Jaipur, Rajasthan",Not Installed,Chain snatching incident occurred outside temple in College Road.,Other
Jaipur,Central Jaipur,Tourist Spot,2021,9,2021-09-01,2810859,6412,228.14,1768,3685,781,0,26.85982,75.80735,"Tourist Spot, Central Jaipur, Jaipur, Rajasthan",Installed,A car was lifted. Police are tracing registration details.,Vehicle Theft
Jaipur,North Jaipur,Temple Chowk,2021,10,2021-10-01,2810859,8761,311.69,2276,5472,1635,1,26.92567,75.73789,"Temple Chowk, North Jaipur, Jaipur, Rajasthan",Not Installed,A case of drunken brawl was reported near inside Triton Mall.,Public Disturbance
Jaipur,North Jaipur,Industrial Area,2021,10,2021-10-01,2810859,7293,259.48,1895,4556,1361,0,26.79674,75.70359,"Industrial Area, North Jaipur, Jaipur, Rajasthan",Not Installed,A car was lifted. Police are tracing registration details.,Vehicle Theft
Jaipur,South Jaipur,Tourist Spot,2021,10,2021-10-01,2810859,8859,315.18,2302,5534,1653,1,26.87251,75.74192,"Tourist Spot, South Jaipur, Jaipur, Rajasthan",Not Installed,The complainant's bike was stolen. No CCTV footage available.,Vehicle Theft
Jaipur,South Jaipur,Court Area,2021,10,2021-10-01,2810859,7851,279.3,2040,4904,1465,0,27.01146,75.7728,"Court Area, South Jaipur, Jaipur, Rajasthan",Not Installed,Illegal gambling reported in Court Area.,Illegal Gambling
Jaipur,East Jaipur,Court Area,2021,10,2021-10-01,2810859,7615,270.91,1978,4756,1421,0,26.87609,75.87124,"Court Area, East Jaipur, Jaipur, Rajasthan",Not Installed,A case of scam was reported near outside the post office in Court Area.,Financial Fraud
Jaipur,East Jaipur,Mall Road,2021,10,2021-10-01,2810859,9731,346.18,2528,6078,1816,1,26.90558,75.71572,"Mall Road, East Jaipur, Jaipur, Rajasthan",Not Installed,Domestic violence complaint received in Mall Road.,Other
Jaipur,West Jaipur,Tourist Spot,2021,10,2021-10-01,2810859,8827,314.03,2293,5514,1647,1,26.86294,75.74039,"Tourist Spot, West Jaipur, Jaipur, Rajasthan",Not Installed,A case of anti-national activity was reported near outside the post office in Tourist Spot.,Extremism/Anti-national
Jaipur,West Jaipur,School Colony,2021,10,2021-10-01,2810859,6576,233.94,1708,4107,1227,0,26.9148,75.75334,"School Colony, West Jaipur, Jaipur, Rajasthan",Installed,Attempted burglary reported near residential colony in School Colony.,Burglary
Jaipur,Central Jaipur,Court Area,2021,10,2021-10-01,2810859,9920,352.91,2577,6196,1851,1,26.94997,75.81507,"Court Area, Central Jaipur, Jaipur, Rajasthan",Not Installed,Cyber fraud case reported. Money withdrawn illegally.,Other
Jaipur,Central Jaipur,Police Station Area,2021,10,2021-10-01,2810859,5668,201.64,1473,3540,1058,0,26.9941,75.71743,"Police Station Area, Central Jaipur, Jaipur, Rajasthan",Not Installed,Cyber fraud case reported. Money withdrawn illegally.,Other
Jaipur,North Jaipur,School Colony,2021,11,2021-11-01,2810859,9900,352.23,2366,5946,1904,1,26.87876,75.74415,"School Colony, North Jaipur, Jaipur, Rajasthan",Not Installed,A case of car theft was reported near outside Gaurav Tower.,Vehicle Theft
Jaipur,North Jaipur,Clock Tower,2021,11,2021-11-01,2810859,10429,371.05,2493,6264,2006,1,26.90552,75.74829,"Clock Tower, North Jaipur, Jaipur, Rajasthan",Not Installed,A car was lifted. Police are tracing registration details.,Vehicle Theft
Jaipur,South Jaipur,Police Station Area,2021,11,2021-11-01,2810859,9082,323.14,2171,5455,1747,1,26.86821,75.80169,"Police Station Area, South Jaipur, Jaipur, Rajasthan",Not Installed,Valuable item went missing. No suspects identified.,Other
Jaipur,South Jaipur,Industrial Area,2021,11,2021-11-01,2810859,11519,409.81,2753,6918,2215,1,26.78902,75.84433,"Industrial Area, South Jaipur, Jaipur, Rajasthan",Not Installed,The complainant's bike was stolen. No CCTV footage available.,Vehicle Theft
Jaipur,East Jaipur,Main Market,2021,11,2021-11-01,2810859,10699,380.65,2557,6426,2058,1,26.78997,75.77286,"Main Market, East Jaipur, Jaipur, Rajasthan",Not Installed,A case of boundary violation was reported near near Jawahar Circle.,Property Dispute
Jaipur,East Jaipur,Court Area,2021,11,2021-11-01,2810859,9776,347.8,2336,5872,1880,1,26.82907,75.70826,"Court Area, East Jaipur, Jaipur, Rajasthan",Not Installed,Attempted burglary reported near residential colony in Court Area.,Burglary
Jaipur,West Jaipur,School Colony,2021,11,2021-11-01,2810859,10929,388.82,2612,6564,2102,1,26.98221,75.81158,"School Colony, West Jaipur, Jaipur, Rajasthan",Not Installed,Domestic violence complaint received in School Colony.,Other
Jaipur,West Jaipur,Clock Tower,2021,11,2021-11-01,2810859,10276,365.61,2456,6172,1977,1,26.94447,75.81124,"Clock Tower, West Jaipur, Jaipur, Rajasthan",Installed,Cyber fraud case reported. Money withdrawn illegally.,Other
Jaipur,Central Jaipur,Hospital Road,2021,11,2021-11-01,2810859,8042,286.12,1922,4830,1547,0,26.94483,75.85029,"Hospital Road, Central Jaipur, Jaipur, Rajasthan",Not Installed,The complainant's bike was stolen. No CCTV footage available.,Vehicle Theft
Jaipur,Central Jaipur,Tourist Spot,2021,11,2021-11-01,2810859,6416,228.26,1533,3853,1234,0,26.84629,75.79977,"Tourist Spot, Central Jaipur, Jaipur, Rajasthan",Installed,A case of anti-national activity was reported near outside the post office in Tourist Spot.,Extremism/Anti-national
Jaipur,North Jaipur,Court Area,2021,12,2021-12-01,2810859,9891,351.88,2769,5873,1957,1,26.92326,75.78678,"Court Area, North Jaipur, Jaipur, Rajasthan",Not Installed,A case of scam was reported near outside the post office in Court Area.,Financial Fraud
